sire,IV,A/E,PRB,PRB2
Atticus (USA),0.996,1.072,0.426,0.271
Intidab (USA),1.162,1.21,0.461,0.341
Aljabr (USA),0.715,0.708,0.501,0.325
Gilded Time (USA),1.55,0.899,0.681,0.538
Goofalik (USA),2.021,0.877,0.647,0.508
Comic Strip (USA),0,0,0.099,0.018
Crafty Prospector (USA),0.704,0.549,0.486,0.338
Solarstern (FR),0.726,0.565,0.643,0.485
Topanoora (IRE),1.385,0.987,0.499,0.363
Dry Dock (GB),0.484,0.325,0.452,0.334
Mesleh (IRE),0,0,0.317,0.207
Distorted Humor (USA),0.612,0.384,0.508,0.361
Just A Dancer (NZ),3.32,1.472,0.732,0.587
Strong Gale (IRE),0.83,0.704,0.422,0.283
Mollicone Junior (FR),1.291,0.538,0.675,0.497
Risk Me (FR),0.807,0.618,0.447,0.32
Star Quest (GB),1.57,0.841,0.65,0.502
Great Palm (USA),1.453,0.942,0.604,0.436
Symbolic (IRE),0,0,0.286,0.163
Savahra Sound (GB),0,0,0.177,0.072
Un Desperado (FR),1.038,0.875,0.438,0.315
Tiraaz (USA),1.453,2.263,0.522,0.386
Epervier Bleu (GB),1.241,0.714,0.525,0.401
Villez (USA),1.309,0.804,0.512,0.39
Witness Box (USA),0.601,0.476,0.526,0.373
Germany (USA),1.131,0.891,0.527,0.387
Double Trigger (IRE),0.779,0.814,0.461,0.305
Alderbrook (GB),0.753,0.68,0.434,0.293
River Falls (GB),0.894,0.747,0.482,0.377
Alphabatim (USA),0.91,0.728,0.463,0.327
Fearless Action (USA),0,0,0.303,0.23
Air Display (USA),0.342,0.328,0.432,0.289
Parthian Springs (GB),1.211,1.376,0.434,0.313
Asir (GB),0.528,0.376,0.488,0.356
Executive Perk (GB),0.669,0.643,0.469,0.324
Muharib (USA),0.922,0.82,0.577,0.412
Midyan (USA),0.664,0.563,0.33,0.212
Relief Pitcher (GB),0.684,0.773,0.469,0.32
Waajib (IRE),0,0,0.405,0.214
Montelimar (USA),1.009,0.891,0.491,0.357
Celio Rufo (GB),0.904,0.714,0.463,0.33
Murmure (FR),0.968,0.378,0.435,0.333
Classic Cheer (IRE),0,0,0.259,0.187
Glacial Storm (USA),0.762,0.679,0.451,0.317
Storm Bird (CAN),1.788,1.343,0.677,0.524
Symboli Heights (FR),1.395,1.685,0.413,0.295
Endoli (USA),1.056,1.139,0.515,0.392
High Kicker (USA),0,0,0.351,0.165
Weld (GB),0.837,0.871,0.384,0.263
Nononito (FR),0.612,0.481,0.545,0.36
Thethingaboutitis (USA),0.75,0.676,0.413,0.315
Duky (GB),0.553,0.748,0.401,0.299
Ballet Royal (USA),0.75,0.714,0.406,0.248
Jimmys Pixie (IRE),0,0,0.045,0.008
Naheez (USA),0.538,0.512,0.453,0.306
Backchat (USA),0,0,0.369,0.248
Carefree Dancer (USA),1.66,1.396,0.5,0.442
