trainer,IV,A/E,PRB,PRB2
Alex Hales,0.617,0.618,0.452,0.302
Dai Burchell,0.73,0.699,0.482,0.341
Michael Quinlan,0.926,0.745,0.486,0.343
Simon Lewis,0.245,0.612,0.295,0.168
Mark Shears,0,0,0.18,0.072
Reginald Brown,0,0,0.492,0.354
Mrs K Waldron,0.758,0.639,0.491,0.367
Murty McGrath,0.474,0.577,0.398,0.262
J C Tuck,0.816,0.75,0.442,0.293
Jonathan Portman,0.654,0.685,0.45,0.301
Gerald Ham,0.623,0.856,0.406,0.272
Suzy Smith,0.43,0.414,0.509,0.344
D W Lewis,0,0,0.437,0.303
M J M Evans,0,0,0.334,0.226
John Cornwall,0.505,0.635,0.392,0.253
J Joseph,0.342,0.572,0.45,0.315
Tony Carroll,0.86,0.711,0.495,0.348
Jimmy Fox,0.401,0.61,0.41,0.248
Nick Williams,1.704,1.374,0.534,0.408
Mark Wellings,0.478,0.81,0.362,0.232
W Jenks,0.258,0.359,0.419,0.261
Simon Earle,1.722,1.116,0.514,0.403
Jim Wilson,0,0,0.418,0.247
Cecil Price,0.646,0.785,0.36,0.268
B L Lay,0,0,0.111,0.012
G F Bridgwater,0,0,0.167,0.081
Charlie Mann,1.245,0.845,0.51,0.377
Simon Burrough,0.2,0.321,0.383,0.24
Mouse Hamilton-Fairley,0.612,0.69,0.372,0.246
Miss C J Williams,2.324,2.564,0.437,0.373
D J Minty,0,0,0.177,0.063
Gary Moore,1.256,0.905,0.518,0.376
Renee Robeson,1.384,1.035,0.496,0.352
Mrs S D Williams,1.139,1.491,0.387,0.27
Gary Brown,0,0,0.318,0.191
Dr P Pritchard,0.338,0.669,0.355,0.204
A J Deakin,1.367,1.871,0.423,0.302
Mark Bradstock,1.056,0.794,0.538,0.404
Evan Williams,1.779,1.097,0.482,0.377
Andrew Balding,1.027,0.83,0.519,0.367
Roger Curtis,0.208,0.287,0.31,0.187
Sue Gardner,1.162,1.081,0.46,0.325
Neil King,0.64,0.81,0.423,0.283
Patrick Rodford,0.894,1.544,0.46,0.318
James Evans,0.968,2.345,0.507,0.321
Brendan W Duke,0.553,0.768,0.379,0.243
J M Castle,1.291,3.757,0.264,0.17
S A Brookshaw,0.628,0.67,0.425,0.291
Julian Smith,0.861,0.784,0.388,0.252
J R Jenkins,0.691,0.72,0.425,0.283
B Llewellyn,0,0,0.149,0.068
Alan Juckes,0.302,0.3,0.436,0.289
D R Stoddart,0.553,0.677,0.372,0.287
T G Mills,2.002,1.378,0.575,0.434
Beth Roberts,0,0,0.318,0.189
Pam Ford,0.447,1.217,0.264,0.127
Mary Evans,0,0,0.185,0.09
N I M Rossiter,0.93,1.387,0.355,0.24
Mrs A J Bowlby,0.323,0.474,0.453,0.31
M E D Francis,2.113,2.924,0.576,0.411
Miss H Lewis,0,0,0.318,0.192
D O Stephens,0,0,0.235,0.103
Alan Hollingsworth,1.66,1.733,0.432,0.341
A D Smith,0.553,0.789,0.38,0.237
Martin Wilesmith,0,0,0.277,0.086
Adrian Chamberlain,0,0,0.263,0.141
Andrew Price,1.125,1.773,0.367,0.261
Anabel K Murphy,0.41,0.476,0.455,0.293
L Wells,1.043,1.182,0.418,0.279
Luke Dace,0.318,0.617,0.335,0.2
Carole Ikin,0,0,0.165,0.06
Bob Buckler,0.844,0.815,0.472,0.341
K Bell,0,0,0.355,0.193
Jonathan Geake,0.8,0.772,0.45,0.31
R H Alner,1.461,0.907,0.513,0.386
Henrietta Knight,1.226,0.816,0.506,0.376
N E Berry,0,0,0.367,0.242
Aytach Sadik,0.726,0.794,0.355,0.248
L J Williams,0,0,0.042,0.007
D R Gandolfo,0.968,0.907,0.451,0.329
A Ennis,0.942,0.83,0.449,0.319
C L Popham,0.495,0.724,0.351,0.261
Gruffydd Jones,1.937,1.774,0.695,0.534
Ray Fielder,0,0,0.291,0.143
Miss S J Wilton,0.43,0.557,0.488,0.32
Colin Tizzard,1.392,0.962,0.526,0.388
Jean-Rene Auvray,0.572,0.696,0.479,0.337
Jim Best,0.581,0.515,0.292,0.174
Gerry Enright,0.215,0.344,0.347,0.208
Mary Meek,0,0,0.223,0.088
Paul Dalton,0.332,0.428,0.358,0.243
Nikki Evans,0.223,0.533,0.305,0.192
R Flint,0,0,0.398,0.247
Brian Eckley,0,0,0.444,0.304
Peter Winkworth,0.532,0.555,0.431,0.294
James Nicol,2.324,2.155,0.615,0.456
Alan Jones,1.253,1.259,0.384,0.272
Giles Smyly,0,0,0.289,0.142
P A Trueman,0,0,0,0
P OConnor,0,0,0.219,0.11
Jimmy Frost,1.136,0.968,0.491,0.358
Sheena West,1.737,1.639,0.536,0.4
Joanne Foster,0,0,0.196,0.114
Clarissa Caroe,0,0,0.246,0.143
David Flood,1.153,0.858,0.435,0.306
L Waring,0,0,0,0
Gordon Edwards,1.937,2.463,0.495,0.374
Mark Campion,0,0,0.369,0.233
Dai Williams,0.43,0.716,0.348,0.207
J S King,0.474,0.513,0.51,0.346
J W Tudor,0,0,0.283,0.187
M Brown,0,0,0.489,0.317
Lucy Normile,0.36,0.603,0.345,0.221
Claire Dyson,0.83,2.033,0.358,0.226
Mrs Jeremy Young,0.93,0.601,0.473,0.359
B A Pearce,0.478,0.698,0.428,0.265
Linda Jewell,0.098,0.147,0.422,0.254
Charles Egerton,2.093,0.989,0.652,0.516
Martin Bosley,0.43,0.584,0.465,0.296
K R Pearce,0,0,0.138,0.048
George Jones,0,0,0.169,0.051
Lisa Day,0,0,0.227,0.129
Kathleen Sanderson,1.453,1.612,0.527,0.399
Stuart Kittow,0.379,0.444,0.494,0.335
M Salaman,0,0,0.326,0.181
R J Baker,0,0,0.284,0.132
David Brace,0,0,0.288,0.134
Miss J R Gibney,0.363,0.456,0.439,0.277
Jamie Poulton,0.968,0.952,0.508,0.359
Brett Johnson,1.13,1.175,0.437,0.303
Helen Nelmes,0,0,0.405,0.259
Ernst Oertel,0.853,0.725,0.54,0.377
Terry Caldwell,0,0,0.291,0.136
Jonathen de Giles,0,0,0.405,0.245
Colin Tinkler,2.372,1.267,0.61,0.489
Tracey Barfoot-Saunt,0.439,1.046,0.317,0.189
Shaun Lycett,1.761,1.923,0.528,0.395
Rodney Farrant,0.968,1.127,0.449,0.316
Maurice Barnes,0.767,1.085,0.408,0.273
John Flint,2.641,1.986,0.483,0.381
Andy Turnell,1.871,1.436,0.538,0.411
J K Cresswell,0,0,0.366,0.219
David Rees,0,0,0.442,0.295
P Kelsall,0,0,0.176,0.089
Mary Hambro,1.55,1.499,0.472,0.342
Mark Rimell,2.641,1.377,0.696,0.575
Martin Hill,0,0,0.259,0.109
John Needham,0,0,0.373,0.259
Liam Corcoran,1.743,2.355,0.375,0.303
John Akehurst,0.82,0.849,0.484,0.329
Ben Pollock,0.484,0.717,0.291,0.195
Mark Pitman,1.66,1.133,0.507,0.389
Robert Waley-Cohen,4.226,2.012,0.774,0.651
Julia Saunders,0,0,0.248,0.142
James Danahar,0,0,0.066,0.025
G A Huffer,1.956,1.222,0.564,0.421
J W Payne,0.253,0.308,0.383,0.234
Julia Feilden,0.87,1.041,0.46,0.316
George Prodromou,0.924,0.842,0.516,0.363
James Toller,1.243,0.997,0.543,0.398
Tom Keddy,1.216,1.139,0.557,0.4
Dave Morris,1.03,1.126,0.477,0.317
Mick Quinn,1.543,1.31,0.515,0.377
T M Jones,0.342,0.352,0.479,0.332
Gay Kelleway,0.942,0.694,0.529,0.378
James Fanshawe,1.747,0.858,0.625,0.471
P S Felgate,0,0,0.21,0.083
C A Horgan,0.83,0.673,0.523,0.354
John Harris,0.479,0.718,0.391,0.258
Debbie Mountain,0.425,0.561,0.347,0.205
Bob Jones,0.775,0.779,0.461,0.322
Clive Cox,1.622,1.039,0.603,0.466
Sir Henry Cecil,1.367,0.644,0.625,0.467
Conrad Allen,0.968,1.542,0.392,0.232
Dr Jon Scargill,1.236,1.158,0.538,0.397
Ed Vaughan,0.894,0.625,0.545,0.385
Hugh Collingridge,0.601,0.535,0.449,0.296
Marcus Tregoning,2.012,1.003,0.587,0.444
David Simcock,0.612,0.607,0.461,0.292
Saeed bin Suroor,2.25,0.886,0.617,0.482
Amanda Perrett,1.157,0.712,0.575,0.423
Michael Attwater,1.291,1.058,0.51,0.356
Sylvester Kirk,0.951,0.859,0.479,0.325
Rod Millman,1.044,0.833,0.555,0.399
Nerys Dutfield,0.821,1.091,0.478,0.326
Denis Coakley,2.169,1.573,0.597,0.464
Diana Weeden,0,0,0.153,0.084
Roger Ingram,1.18,1.054,0.472,0.32
R W Price,1.056,1.093,0.449,0.322
Mark Allen,0,0,0.301,0.167
William de Best-Turner,0,0,0.284,0.143
Andrew Reid,1.013,0.777,0.529,0.378
John A Supple,0.93,1.839,0.418,0.279
Philip Mitchell,1.242,1.071,0.525,0.376
Zoe Davison,0.326,0.598,0.368,0.224
Eric Wheeler,0.894,1.176,0.465,0.294
Garry Woodward,1.107,1.515,0.469,0.312
John Gosden,2.163,1.038,0.636,0.493
Mikael Magnusson,1.614,1.307,0.492,0.366
