horse,IV,A/E,PRB,PRB2
Priors Hill (IRE),5.811,1.941,0.9,0.82
Dynamic Rhythm (USA),0,0,0.627,0.423
Azime (IRE),0,0,0.232,0.081
Wind Chime (IRE),0.968,0.693,0.606,0.447
Debs Broughton (GB),0,0,0.283,0.145
Foreign Affairs (GB),0,0,0.813,0.673
Jalissa (GB),1.66,1.567,0.434,0.324
Justaquestion (GB),0,0,0.315,0.141
Dawn Surprise (USA),0,0,0.1,0.02
Middleton Grey (GB),1.66,1.27,0.654,0.486
Sir Edwin Landseer (USA),1.66,1.223,0.79,0.654
Old Bailey I (USA),1.367,0.792,0.407,0.305
Natural Force (IRE),5.811,1.885,0.812,0.703
My (GB),0,0,0.198,0.046
Brunelleschi (GB),1.66,0.875,0.569,0.409
Glasshoughton (GB),0,0,0.641,0.446
Alugat (IRE),1.66,1.839,0.486,0.319
Desert Lightning (IRE),3.874,1.059,0.593,0.486
Flight Of Esteem (GB),0,0,0.508,0.33
Guns Blazing (GB),0,0,0.325,0.159
Short Skirt (GB),5.811,3.072,0.769,0.645
Moonlight Music (IRE),0,0,0.568,0.439
Zamala (GB),0,0,0.7,0.498
Rose Muwasim (GB),0,0,0.727,0.529
Baklawa (GB),0,0,0.643,0.416
Florida Legend (IRE),0,0,0.364,0.132
Pharia (USA),0,0,0.168,0.039
Princess Nada (GB),0,0,0.638,0.511
Greytown (GB),0,0,0.318,0.153
Unique Moment (GB),1.66,0.765,0.603,0.426
Morghim (IRE),11.621,5.5,1,1
Chadlington (IRE),0,0,0.635,0.495
Semi Detached (IRE),0,0,0.79,0.648
Areyoutalkingtome (GB),0,0,0.589,0.402
Tumbleweed Glory (IRE),0,0,0.6,0.38
Street Warrior (IRE),0,0,0.737,0.591
Melodic Score (USA),0,0,0.676,0.501
Rebelling (IRE),0,0,0.491,0.258
Barnamaj (USA),0,0,0.216,0.048
Tower Hill (IRE),0,0,0.561,0.385
Joint Acquisition (IRE),0,0,0.062,0.008
Henchman (GB),0,0,0.422,0.273
Genuine Surprise (IRE),0,0,0.292,0.103
Heres The Plan (IRE),0,0,0.321,0.135
King Marrakech (IRE),0.968,1.902,0.284,0.166
Baddam (GB),5.811,1.814,0.882,0.8
Mikao (IRE),3.32,1.685,0.822,0.703
Bayeux (USA),0,0,0.328,0.139
Trotters Bottom (GB),0,0,0.404,0.226
Manbala (FR),11.621,9,1,1
Tawaafud (GB),0,0,0.892,0.796
Solva (GB),0,0,0.677,0.485
You Call That Art (USA),0,0,0.664,0.506
Is (GB),0,0,0.273,0.149
Grove Cherry (IRE),0,0,0.266,0.106
Nojoom (IRE),0,0,0.182,0.066
The Spread (GB),0,0,0.29,0.085
Last Offer (IRE),0,0,0.182,0.033
Kings Majesty (IRE),5.811,1.906,0.917,0.847
Striking Endeavour (GB),0,0,0,0
Tell (GB),5.811,2.923,0.875,0.781
Scandal Keeper (USA),5.811,1.429,0.962,0.926
Borehan (GB),0,0,0.729,0.534
Cape Diamond (IRE),0,0,0.728,0.531
Riotous Applause (GB),3.874,2.415,0.65,0.497
Kut (IRE),0,0,0.538,0.29
They All Laughed (GB),0,0,0.147,0.057
Adoniel (IRE),0,0,0.385,0.148
Knickerless (IRE),0,0,0.301,0.102
King Of Franks (IRE),0,0,0.335,0.122
Vincent Vegas (GB),0,0,0.091,0.021
Empress Jain (GB),3.874,2.301,0.619,0.478
Sivivatu (USA),3.874,1.34,0.786,0.642
Catch A Star (GB),0,0,0,0
Hinterland (IRE),7.748,2.647,0.822,0.739
Halkin (USA),0,0,0.858,0.74
Flag Of Truce (GB),0,0,0.833,0.694
Elizabethan Age (FR),1.937,0.629,0.797,0.661
Aimee Vibert (GB),0,0,0.584,0.353
Stagecoach Emerald (GB),0,0,0.467,0.226
Yorkshire Owl (GB),0,0,0.31,0.108
Grande Roche (IRE),0,0,0.64,0.462
Black Wadi (GB),0,0,0.333,0.111
Mademoiselle (GB),1.66,1.264,0.497,0.354
Tribal Chief (IRE),0,0,0.083,0.007
Musical Shares (GB),0,0,0.023,0.002
Hits Only Cash (GB),1.66,1.177,0.632,0.458
Mina A Salem (GB),1.453,1.195,0.579,0.479
Dance On The Top (GB),0.968,0.667,0.618,0.43
Dawn Quest (USA),3.874,1.088,0.73,0.615
Hill Spirit (GB),0,0,0.662,0.484
Senor Dali (IRE),0,0,0.7,0.5
Participation (GB),3.874,3.992,0.7,0.537
Ghostly Pet (IRE),0,0,0.185,0.043
Persian Conqueror (IRE),0,0,0.181,0.056
Short Dance (USA),5.811,3.201,0.896,0.816
Felicitous (GB),0,0,0.89,0.793
Wasseema (USA),0,0,0.846,0.716
Discotheque (USA),0,0,0.592,0.367
Spinning Ruby (GB),5.811,2.69,0.846,0.74
Spirit Of Arosa (IRE),0,0,0.641,0.412
Tecktal (FR),0,0,0.489,0.241
Aravalli (IRE),2.905,2.942,0.699,0.529
Deira (USA),0,0,0.621,0.427
First Approval (GB),0,0,0.576,0.382
Welsh Cake (GB),0,0,0.491,0.318
Rapich (GB),0,0,0.106,0.014
Suzie Fong (GB),0,0,0,0
Dubai Venture (GB),1.937,0.5,0.598,0.539
Royal Proposal (GB),5.811,1.202,0.9,0.82
Chatila (USA),5.811,7.65,0.8,0.68
Prowess (IRE),0,0,0.513,0.275
Dance School (GB),0,0,0.475,0.301
Daanet Al Dunya (USA),0,0,0,0
Johnny Rook (IRE),1.66,2.467,0.51,0.384
Red Sovereign (GB),1.223,0.987,0.479,0.329
Ann Summers Gold (USA),0,0,0.847,0.718
Art Market (CAN),2.905,1.085,0.712,0.585
Strut (GB),3.874,1.68,0.731,0.585
Bling (GB),2.324,1.575,0.603,0.428
Perfect Choice (IRE),0,0,0.208,0.075
Park Romance (IRE),0,0,0.103,0.012
Gold Queen (GB),0,0,0.2,0.085
Mamool (IRE),3.874,0.901,0.683,0.567
The Whistling Teal (GB),0,0,0.682,0.484
Primary (USA),7.748,2.886,0.667,0.667
Olympian Odyssey (GB),3.874,1.011,0.874,0.779
Papal Bull (GB),3.874,0.765,0.829,0.722
Capricorn Run (USA),3.874,2.308,0.429,0.361
Altilhar (USA),2.905,2.425,0.588,0.467
Spring In His Step (USA),0,0,0,0
Master Cobbler (IRE),0,0,0.625,0.446
Maggie Tulliver (IRE),1.937,1.427,0.639,0.479
Corker (GB),1.162,1.108,0.635,0.479
Miss The Boat (GB),1.937,0.634,0.712,0.616
Loch Quest (IRE),1.66,1.184,0.524,0.356
Sky Quest (IRE),0,0,0.315,0.122
Ballet Ballon (USA),1.453,1.237,0.68,0.527
Cosi Celeste (FR),0,0,0.223,0.16
Stock Dove (GB),0,0,0.579,0.338
Espresso Forte (IRE),2.905,2.507,0.739,0.581
Key To The Kingdom I (IRE),1.55,1.037,0.605,0.443
Urban Knight (GB),0,0,0.213,0.106
Yeoman Lad (GB),0,0,0.226,0.071
Yukon Jack (GB),0,0,0,0
New Perk (IRE),2.324,1.695,0.674,0.522
River Ground (IRE),0,0,0.598,0.37
Starshipenterprise (GB),0,0,0.642,0.427
Vicentio (GB),1.66,0.729,0.79,0.648
General Tantrum (IRE),3.874,4.006,0.458,0.38
Jazz Du Forez (FR),0,0,0.315,0.163
Deramore (IRE),0,0,0.071,0.015
No Need For Alarm (GB),0,0,0.167,0.056
Bound (GB),0,0,0,0
Dark Society (GB),7.748,4.316,0.909,0.843
Dargaville (NZ),0,0,0.585,0.417
Honeys Gift (GB),1.056,0.826,0.544,0.352
Ill Fly (GB),0,0,0.417,0.174
EdesI (GB),0,0,0.302,0.11
Still Going On (GB),0.83,0.583,0.578,0.417
Researcher (GB),2.324,0.882,0.661,0.489
Widemouth Bay (IRE),0,0,0.493,0.252
Down The Stretch (GB),0,0,0.263,0.12
Droumleigh Lad (IRE),0,0,0,0
Floreana (GER),2.324,1.062,0.678,0.586
Miss Merenda (GB),1.162,0.705,0.543,0.37
Be Wise Girl (GB),1.788,1.254,0.636,0.502
A Double Ewe Bee (GB),0,0,0.375,0.281
Fireaway (GB),2.324,1.836,0.635,0.54
Dickens (USA),1.453,0.565,0.551,0.411
Jayed (IRE),1.453,1.038,0.631,0.512
All On My Own (USA),0,0,0.493,0.308
Monsal Dale (IRE),0,0,0.627,0.428
Perfect Venue (IRE),0,0,0.121,0.036
Ehab (IRE),0,0,0.25,0.125
Paynestown Lad (IRE),0,0,0.2,0.08
Dish (GB),0,0,0,0
Briery Fox (IRE),3.874,2.305,0.826,0.707
Lord Heccles (IRE),0,0,0.5,0.25
Griffens Brook (GB),0,0,0.4,0.16
Zaffisfaction (GB),0,0,0.202,0.062
Bright Dawn II (IRE),0,0,0,0
Dont Tell Jr (IRE),3.874,5.667,0.533,0.453
Be Upstanding (GB),0,0,0.542,0.462
Skycab (IRE),0,0,0.566,0.428
Figawin (GB),0,0,0.636,0.408
Extra Cache (NZ),0,0,0.429,0.286
March North (GB),0,0,0.175,0.062
Maidstone Monument (IRE),2.583,1.255,0.62,0.495
Test Of Friendship (GB),0,0,0,0
Azzemour (FR),1.937,0.826,0.744,0.603
Knightsbridge King (GB),0,0,0.429,0.284
Double Ange (FR),0,0,0.871,0.758
Upham Lord (IRE),0,0,0.762,0.586
RoosterI (GB),3.874,1.711,0.869,0.768
Royal Alibi (GB),0,0,0,0
Irish Sea I (USA),0,0,0,0
Minster York (GB),0,0,0.383,0.241
Lateen (GB),0,0,0,0
Arctic Challenge (IRE),0,0,0,0
Pharbeitfrome (IRE),0,0,0,0
Abbeyknock Boy (IRE),0,0,0,0
Iacacia (FR),0,0,0,0
Heltornic (IRE),3.874,1.013,0.636,0.609
Mistress Cool (GB),0,0,0.546,0.32
Dawn Walk (IRE),0,0,0.615,0.379
Maximoss (IRE),0,0,0.475,0.23
The Washerwoman (GB),0,0,0.498,0.275
Gladys Gertrude (GB),0,0,0.077,0.006
Wonder Brook (GB),0,0,0,0
Fullards (GB),0,0,0.576,0.371
Spring Lover (FR),3.874,1.701,0.71,0.582
Walcot Lad (IRE),1.55,0.973,0.575,0.449
Giorgio (IRE),1.453,0.779,0.57,0.5
Grand Prairie (SWE),0,0,0.695,0.517
Wyoming (GB),2.324,1.629,0.588,0.506
Isleofhopeantears (IRE),0,0,0.375,0.228
Shaman (GB),0,0,0.463,0.307
Tignasse (FR),1.66,1.064,0.436,0.313
Sweet Oona (FR),0,0,0.863,0.75
Magnetic Pole (GB),0,0,0.413,0.239
Hail The King (USA),2.324,1.701,0.687,0.527
Charlie Castallan (GB),0,0,0.185,0.068
Drizzle (GB),0,0,0.106,0.03
Lord Euro (IRE),0,0,0.75,0.562
Durham Dandy (GB),0,0,0.5,0.25
Hadeqa (GB),0,0,0.25,0.062
Mashwe (IRE),0,0,0,0
Socarineau (FR),0,0,0,0
Ma Yahab (GB),5.811,2.572,0.764,0.663
Festive Chimes (IRE),1.585,0.973,0.628,0.509
Three Ships (GB),3.169,2.162,0.648,0.521
Glowing Ember (GB),0,0,0.447,0.27
Blazing The Trail (IRE),0,0,0.31,0.163
Pirouettes (IRE),1.453,1.081,0.684,0.531
Trickstep (GB),1.291,0.907,0.365,0.236
Barneys Reflection (GB),2.583,1.726,0.5,0.364
Step In Line (IRE),0,0,0.429,0.291
Mersey Mirage (GB),0,0,0.289,0.132
Every Note Counts (GB),0,0,0.371,0.202
Exclusive Air (USA),0,0,0.312,0.148
Clydeoneeyed (GB),1.453,1.947,0.4,0.291
Coole Glen (IRE),0,0,0.877,0.777
Harbour Point (IRE),0,0,0.296,0.17
East Hill (IRE),0,0,0,0
Supreme Rullah (IRE),0,0,0.556,0.356
Estupendo (IRE),0,0,0.25,0.091
Courage Under Fire (GB),1.937,1.028,0.267,0.227
Paxford Jack (GB),1.162,0.516,0.643,0.489
Meggies Lad (IRE),2.905,0.882,0.696,0.574
Deckie (IRE),11.621,1.8,1,1
Attack (GB),0,0,0,0
El Lute (IRE),0,0,0.208,0.13
Retros Girl (IRE),0,0,0.719,0.549
Tessanoora (GB),0,0,0.839,0.709
Maarees (GB),0,0,0.51,0.396
Itsukate (GB),0,0,0.382,0.181
Smart Thinker (GB),0,0,0.31,0.116
Touch And Weld (IRE),0,0,0.166,0.044
Lawaaheb (IRE),1.937,1.298,0.616,0.447
Domart (POL),0,0,0.514,0.275
Parisi Princess (GB),0,0,0.395,0.2
Komena (GB),0,0,0.292,0.13
Belisco (USA),0,0,0.256,0.147
Nosam (GB),0,0,0.692,0.504
Miss Wizadora (GB),2.905,1.434,0.818,0.692
West Coaster (IRE),0,0,0.469,0.325
Coral Island I (GB),0,0,0.365,0.209
Hatsnall (GB),0,0,0.435,0.34
Kings Mountain (USA),0,0,0.3,0.18
Fille Detente (GB),0,0,0.384,0.275
Derrintogher Yank (IRE),0,0,0.542,0.446
Bush Hill Bandit (IRE),0,0,0.7,0.49
Ain Tecbalet (FR),0,0,0.6,0.36
Montys Tag (IRE),0,0,0.26,0.178
Straight On (IRE),0,0,0,0
Tubber Roads (IRE),0,0,0,0
Militaire (FR),0,0,0,0
Tirley Gale (GB),0,0,0,0
Red Dahlia (GB),2.113,1.394,0.64,0.497
Nods Star (GB),0,0,0.498,0.321
Cash Return (GB),0,0,0.455,0.285
Land Of Nod (IRE),0,0,0.139,0.058
Reedsman (IRE),0,0,0.526,0.332
Lets Celebrate (GB),0,0,0.754,0.612
Glory Of Love (GB),0,0,0.556,0.309
Estuary (USA),0,0,0.176,0.074
In The Frame (IRE),3.32,1.605,0.738,0.6
Emanic (FR),0,0,0.456,0.301
Squeeze I (IRE),0,0,0.275,0.213
Charlies Double (GB),4.649,2.779,0.647,0.581
La Concha (IRE),0,0,0.589,0.408
Pangeran (USA),1.453,1.641,0.601,0.443
Klondike Charger (USA),0,0,0.233,0.163
Uncle Arthur (IRE),0,0,0,0
Zaffre (IRE),1.937,1.765,0.591,0.476
Messager (FR),0,0,0.408,0.175
Bayadere (GER),1.937,5.049,0.364,0.248
Grey Prince (GB),0,0,0.074,0.016
Gale Star (IRE),2.905,1.912,0.644,0.51
Guilsborough Gorse (GB),0,0,0.521,0.351
Chariot I (IRE),0,0,0.562,0.372
Cicatrice (GB),1.291,1.392,0.395,0.234
Brigadier Du Bois (FR),0,0,0.631,0.506
In The Hat (IRE),1.937,6.024,0.281,0.214
Dead Mans Dante (IRE),1.291,0.819,0.447,0.327
Be Telling (IRE),0,0,0.244,0.132
Loup Bleu (USA),0,0,0.25,0.125
Ashwell (IRE),0,0,0.45,0.405
Ah Yeah (IRE),0,0,0.411,0.277
Roll Along (IRE),11.621,3,1,1
Bonchester Bridge (GB),2.324,0.892,0.723,0.658
Stroom Bank (IRE),0,0,0.491,0.263
Viennchee Run (GB),0,0,0.283,0.094
Wheel Tapper (IRE),0,0,0.062,0.008
Buz Kiri (USA),0,0,0.551,0.359
Tioga Gold (IRE),0,0,0.387,0.227
Gamma-Delta (IRE),0,0,0.412,0.314
Interstice (GB),0,0,0.222,0.148
Bayard (USA),3.874,1.034,0.673,0.613
Knock Bridge (IRE),0,0,0.625,0.486
Lobengula (IRE),1.66,3.394,0.348,0.245
Golden Squaw (GB),0,0,0,0
Deltic Arrow (GB),0,0,0.222,0.074
Back De Bay (IRE),0,0,0.087,0.015
Lunardi (IRE),0,0,0.179,0.09
Alph (GB),3.874,3.351,0.877,0.778
Air Guitar (IRE),1.162,0.714,0.772,0.622
Cappanrush (IRE),1.66,1.101,0.641,0.466
Dance World (GB),0,0,0.46,0.286
Fabulous Jet (FR),0,0,0.846,0.716
Cabrillo (IRE),0,0,0.252,0.101
Spider Boy (GB),0,0,0.547,0.328
Bonnets Pieces (GB),0,0,0.523,0.335
Brooklyn Brownie (IRE),4.358,1.539,0.82,0.739
Corsican Native (USA),1.162,0.612,0.683,0.525
Son Of Greek Myth (USA),0.968,0.496,0.489,0.342
Inn For The Dancer (GB),0,0,0.454,0.308
Tancredi (SWE),0,0,0.615,0.379
Top Man Tee (GB),1.66,0.929,0.607,0.473
Karrnak (GB),0,0,0.28,0.106
Annals (GB),0,0,0.228,0.077
E Bride (USA),0,0,0.249,0.102
Ball Boy (GB),2.905,1.595,0.393,0.332
Keresforth (GB),0.83,1.223,0.257,0.131
Standing Bloom (GB),0,0,0.441,0.285
Mick Divine (IRE),0,0,0.636,0.429
Lord Of Adventure (IRE),0,0,0.456,0.294
Misters Sister (GB),0,0,0.368,0.18
Laconicos (IRE),0,0,0.616,0.424
Paparaazi (IRE),1.056,0.579,0.579,0.43
Oh Mister Pinceau (FR),0,0,0.432,0.219
Moment Of Clarity (GB),0,0,0.332,0.183
Swell Lad (GB),0,0,0.089,0.016
Viva Forever (FR),1.937,1.504,0.476,0.302
Cansalrun (IRE),0,0,0.675,0.524
Jessinca (GB),0,0,0.062,0.008
Too Forward (IRE),3.874,1.898,0.702,0.553
What A Man (IRE),0,0,0.774,0.602
El Viejo (IRE),0,0,0.351,0.191
King Georges (FR),0,0,0.419,0.213
Bob Ar Aghaidh (IRE),3.32,1.398,0.52,0.479
Kappelhoff (IRE),1.162,1.754,0.451,0.33
Whist Drive (GB),11.621,3.5,1,1
Crashtown Leader (IRE),0,0,0.428,0.282
Kitski (FR),0,0,0.624,0.495
The Bosun (GB),0,0,0.553,0.314
Manque Neuf (GB),1.453,0.978,0.632,0.485
Roznic (FR),0,0,0.431,0.261
Roofing Spirit (IRE),2.905,1.284,0.617,0.475
Golden Crusader (GB),1.66,1.277,0.56,0.412
GodfatherI (IRE),0,0,0.167,0.083
Palace (FR),0,0,0.278,0.154
At The Double (GB),2.583,2.161,0.483,0.392
Hodgsons Choice (IRE),0,0,0,0
Saucy Night (GB),3.874,0.973,0.799,0.725
Just Anvil (IRE),4.649,2.805,0.695,0.618
Beefy Nova (GB),0,0,0,0
Tallow Bay (IRE),0,0,0.21,0.14
Hurricane Dipper (IRE),0,0,0.54,0.396
Harem Scarem (IRE),0,0,0.167,0.083
Lucky Pete (GB),2.905,1.415,0.468,0.345
Adelphie Lass (GB),0,0,0.567,0.407
Geography (IRE),1.056,1.337,0.315,0.2
Fast King (FR),0,0,0.443,0.234
Christmas Truce (IRE),0,0,0.528,0.329
Physical Graffiti (USA),1.937,0.93,0.613,0.424
Dance With Wolves (FR),0,0,0.062,0.008
Statley Raj (IND),0,0,0.236,0.14
See You Around (GB),0,0,0.467,0.303
Johnyyouronlyjoken (IRE),0,0,0.254,0.15
Gemi Bed (FR),0,0,0.571,0.327
Lord Of The Park (IRE),0,0,0.111,0.037
Highpoint (GER),0,0,0.25,0.188
Celtic Ruffian (IRE),0,0,0.386,0.265
Canni Thinkaar (IRE),1.291,1.103,0.561,0.426
Ace Coming (GB),0,0,0.289,0.146
Claim To Fame I (GB),0,0,0.19,0.066
Paddy Boy (IRE),1.66,2.244,0.443,0.335
Crociera (IRE),0,0,0.384,0.173
Charleston (GB),0,0,0.183,0.049
Rakassa (GB),3.874,2.991,0.653,0.506
Captain Hardy (IRE),0,0,0.208,0.13
Just Jimbo (GB),0,0,0,0
Dhaudeloup (FR),0,0,0.383,0.279
Double Agent (GB),0,0,0.423,0.233
The Lyme Volunteer (IRE),1.937,0.959,0.631,0.507
Never Wonder (IRE),0,0,0.5,0.25
Father Abraham (IRE),0,0,0.311,0.165
Sukey (GB),11.621,5.5,1,1
Classic Quart (IRE),2.905,2.491,0.837,0.718
Little Grace (GB),0,0,0.668,0.452
All Marque (IRE),0,0,0.322,0.148
Palace Pett (GB),0,0,0.125,0.031
Nadover (FR),1.937,0.862,0.681,0.495
Buckland Gold (IRE),0,0,0.214,0.106
Marron Prince (FR),0,0,0.113,0.026
Victory Sign I (IRE),0,0,0,0
Good Samaritan (IRE),2.324,2.14,0.71,0.638
Premier Estate (IRE),2.324,1.114,0.587,0.398
Lucky Sinna (IRE),0,0,0.469,0.304
Pougatcheva (FR),0,0,0.332,0.208
Jacarado (IRE),0,0,0.318,0.144
Darcy (GB),0,0,0.103,0.016
Broguestown Breeze (IRE),0,0,0.365,0.209
Light Reflections (GB),0,0,0,0
The Leader (GB),1.66,0.96,0.565,0.409
The Staggery Boy (IRE),3.32,1.879,0.791,0.663
Newick Park (GB),0,0,0.409,0.254
Silvergino (IRE),1.291,0.575,0.536,0.414
Pierre De Lune (GB),0,0,0,0
Eau Pure (FR),1.66,0.965,0.636,0.494
Avanti Tiger (IRE),0,0,0.447,0.276
Maestro Please (IRE),0,0,0.482,0.277
Club Royal (GB),0,0,0.505,0.339
Yassar (IRE),3.32,6.175,0.286,0.286
Victoms Chance (IRE),5.811,1.27,0.643,0.582
King Of Confusion (IRE),3.874,0.898,0.934,0.876
Barrys Ark (IRE),3.874,3.173,0.79,0.656
Derwent I (USA),0,0,0.184,0.07
Cash Converter (IRE),0,0,0.34,0.209
Heatherlea Squire (NZ),0,0,0.139,0.058
Padre (IRE),0,0,0.244,0.125
Incoady (GB),0,0,0.1,0.03
Terrible Tenant (GB),2.113,0.823,0.571,0.464
Green Ideal (GB),2.324,1.081,0.451,0.351
Reel Dancer (GB),3.874,2.045,0.593,0.535
See Red Billdan (IRE),0,0,0,0
Dry Old Party (IRE),0,0,0.181,0.065
Joye Des Iles (FR),0,0,0.182,0.066
River Bug (IRE),0,0,0.233,0.118
Parsons Rose (GB),0,0,0.067,0.022
Eastern Point (GB),0,0,0.627,0.402
Splash And Dash (IRE),0,0,0.571,0.327
Andsuephi (IRE),0,0,0,0
Gladtoknowyou (IRE),0,0,0,0
Kings Hero (IRE),0,0,0,0
Its A Dream (IRE),8.716,3.266,0.944,0.901
Extra Smooth (GB),0,0,0.739,0.559
Optimistic Alfie (GB),0,0,0.459,0.326
Kentford Lady (GB),0,0,0.36,0.178
Longhope Boy (GB),0,0,0.203,0.079
Red Raptor (GB),0,0,0.125,0.031
Grimes Faith (GB),3.874,1.595,0.674,0.533
Mine The Balance (IRE),0,0,0.271,0.086
Magidene (GB),2.905,2.017,0.378,0.293
Tapa (GB),1.056,0.976,0.588,0.417
Auwitesweetheart (GB),1.056,0.511,0.723,0.582
Casino (IRE),0,0,0.175,0.068
Virgins Tears (GB),0,0,0.056,0.009
Tycheros (GB),2.324,1.706,0.546,0.408
Adorata (GER),0,0,0.294,0.131
English Rocket (IRE),0,0,0.373,0.208
Lojo (GB),0,0,0.336,0.166
Jazzy Millennium (GB),0,0,0.421,0.225
Three Pennies (GB),0,0,0.273,0.092
The Way We Were (GB),0,0,0.364,0.264
Chalison (IRE),0,0,0.665,0.467
Dreams Forgotten (IRE),0,0,0.067,0.013
Tintac (GB),0,0,0.313,0.172
Worth A Grand (IRE),0.726,0.839,0.502,0.325
Tiffin Deano (IRE),0.83,1.067,0.355,0.207
Waterline Lover (GB),0,0,0.546,0.342
Danes Rock (IRE),1.55,1.007,0.595,0.426
Keepasharplookout (IRE),0,0,0.339,0.184
Daygar (GB),0,0,0.25,0.076
Maple Branch (USA),0,0,0.056,0.006
Sovietta (IRE),1.937,3.885,0.288,0.208
Stroller (IRE),3.874,1.307,0.701,0.568
Chara (GB),0,0,0.206,0.062
Amnesty (GB),0,0,0.536,0.393
Turn Around (GB),1.937,0.837,0.578,0.472
Mae Cigan (FR),0,0,0.407,0.205
Bold Cheverak (GB),0.684,0.564,0.501,0.333
Jennverse (GB),1.788,1.826,0.56,0.381
Methodical (GB),0,0,0.426,0.247
Over The Limit (IRE),0,0,0.224,0.052
Cape St Vincent (GB),1.453,0.795,0.713,0.553
Marsad (IRE),0,0,0.354,0.161
Ticki Tori (IRE),0,0,0.772,0.613
Estancia (GB),0,0,0.389,0.167
Miss Amour (GB),0,0,0.325,0.176
Hoh Hedsor (GB),0,0,0.1,0.02
Dandygrey Russett (IRE),0,0,0.485,0.327
Silistra (GB),1.453,2.88,0.543,0.379
Front Rank (IRE),1.056,0.788,0.488,0.322
Chambray (IRE),0,0,0.432,0.203
Iron Mountain (IRE),0,0,0.25,0.086
Fellow Ship (GB),0,0,0.278,0.134
Forest Dane (GB),0.83,0.971,0.611,0.407
Kallistas Pride (GB),3.228,1.543,0.66,0.578
Free Wheelin (IRE),0,0,0.511,0.341
Indian Pearl (IRE),0,0,0.482,0.304
Hiamovi (IRE),1.788,1.012,0.5,0.385
Eternally I (GB),0,0,0.128,0.039
Simpsons Mount (IRE),1.66,1.195,0.635,0.472
Riquewihr (GB),1.367,1.162,0.538,0.382
Girlsweekend (GB),0,0,0.437,0.239
A Little Bit Yarie (GB),0,0,0.139,0.039
Piping Shrike (IRE),0,0,0.089,0.015
Desert Demon (IRE),0,0,0.192,0.074
Masterman Ready (GB),2.324,1.07,0.697,0.568
Surface To Air (GB),0,0,0.593,0.408
Mister Putt (USA),0,0,0.465,0.258
Orthodox (GB),0,0,0.127,0.06
Bird Away (GB),0,0,0.523,0.329
Floragalore (GB),0,0,0.474,0.245
Laugh n Cry (GB),0,0,0.523,0.365
Ryans Bliss (IRE),0,0,0.435,0.269
Jaycee Star (IRE),0,0,0.019,0.001
Bertie Southstreet (GB),2.324,0.844,0.704,0.526
Danny The Dip (GB),1.453,2.66,0.488,0.297
Pix (GB),0,0,0.558,0.36
My Lady Valentine (GB),1.937,1.481,0.358,0.228
Broughton Treasure (GB),0,0,0.292,0.193
African Blues (GB),0,0,0,0
Sharp Diversion (USA),0,0,0.236,0.103
Lady Algarhoud (FR),3.576,2.177,0.668,0.545
Ice Ruby (GB),0,0,0,0
Sand Iron (IRE),2.324,3.224,0.448,0.286
Overjoy Way (GB),0,0,0.408,0.253
Miss Truant (GB),0,0,0.417,0.181
Homme Dangereux (GB),2.324,1.241,0.727,0.572
Grezie (GB),0.775,0.897,0.544,0.374
Mill By The Stream (GB),1.66,1.34,0.52,0.386
Physical (IRE),0,0,0.253,0.1
George Romney (USA),0,0,0.442,0.301
Yashin I (IRE),0,0,0.423,0.234
Alqaayid (GB),0,0,0.438,0.212
Parnassian (GB),1.056,0.87,0.632,0.48
This Is My Song (GB),0,0,0.388,0.268
Edas (GB),1.66,1.52,0.523,0.336
Acknowledgement (GB),0,0,0.494,0.315
Danzolin (GB),0,0,0.505,0.326
Great General (IRE),0,0,0.228,0.095
All Being Well (GB),0,0,0.077,0.024
Desiree (IRE),0,0,0.329,0.227
Eastwell Magic (GB),0,0,0,0
Millenium Way (IRE),11.621,4.5,1,1
Exodous (ARG),0,0,0.857,0.735
Run Monty (IRE),0,0,0.714,0.51
Little Worsall (IRE),0,0,0.719,0.539
Runningwiththemoon (GB),0,0,0.429,0.184
Tricky Trevor (IRE),0,0,0.286,0.082
Just Lark (GB),0,0,0.143,0.02
Castle Arrow (IRE),0,0,0,0
Trade Off (IRE),11.621,1.83,1,1
Blaze On (GB),0,0,0.417,0.347
Badgers Glory (GB),0,0,0.667,0.444
Knighton Combe (GB),0,0,0.5,0.25
Ballykilthy (IRE),0,0,0.333,0.111
Cheeky Lad (GB),0,0,0.311,0.139
Sir Henrik (IRE),0,0,0,0
Little Farmer (GB),0,0,0.5,0.25
Greenwich (GB),0,0,0.35,0.245
Good Vintage (IRE),0,0,0.667,0.444
Prime Course (IRE),0,0,0.5,0.25
Glory Trail (IRE),0,0,0.333,0.111
Silver Lake (IRE),0,0,0,0
Bell Rock I (GB),5.811,2.632,0.55,0.51
Machrihanish (GB),0,0,0.917,0.84
Mister Pearly (GB),0,0,0.667,0.444
Tellem Noting (IRE),0,0,0.187,0.092
Asabache (IRE),0,0,0.5,0.25
Carvilla (IRE),0,0,0.417,0.174
Jack Of Kilcash (IRE),0,0,0.333,0.111
Blakes Road (IRE),0,0,0,0
Cosmic Sky I (GB),0,0,0,0
No Reward (IRE),0,0,0,0
Satchmo (IRE),3.874,1.281,0.641,0.617
Lord Of The Flies (IRE),0,0,0.833,0.694
Royal Czarina (GB),0,0,0.667,0.444
Gratomi (IRE),0,0,0.333,0.111
Chief Chippie (GB),0,0,0.167,0.028
Playtime Blue (GB),0,0,0.543,0.333
