horse,IV,A/E,PRB,PRB2
Dans Heir (GB),3.874,1.7,0.914,0.84
Sweet Potato (IRE),0.83,0.541,0.565,0.372
Cava Bien (GB),0,0,0.474,0.301
Naval Force (GB),1.453,0.996,0.464,0.348
Truckle (GB),0,0,0.546,0.36
Askwith (IRE),1.291,1.169,0.529,0.346
Alani (IRE),1.162,2.324,0.342,0.188
Garhoud (GB),2.324,2.202,0.438,0.284
King Zafeen (IRE),0,0,0.291,0.189
Madge (GB),0,0,0.379,0.23
Speagle (IRE),1.937,2.347,0.411,0.274
Azahara (GB),0,0,0.438,0.235
King Henrik (USA),0,0,0.089,0.011
Sweetly Sharp (IRE),1.162,1.472,0.41,0.289
Garstang (GB),1.291,1.054,0.466,0.332
Baytown Lulu (GB),0.646,0.498,0.55,0.365
Boumsong (IRE),0,0,0.187,0.079
Compton Lad (GB),0,0,0.361,0.185
Lucys Lady (GB),2.324,1.539,0.588,0.433
Jack It (IRE),0,0,0.231,0.087
Kinky (GB),0.968,2.345,0.3,0.185
Zanderido (GB),0,0,0.318,0.211
Sound And Vision (IRE),0,0,0.682,0.505
Cool Sands (IRE),1.367,1.282,0.517,0.392
Saxon Lil (IRE),3.228,2.16,0.728,0.597
Michaels Pride (IRE),3.418,1.251,0.719,0.597
Classic Style (IRE),0,0,0.413,0.186
Paris Heights (GB),0.968,0.671,0.724,0.56
Cream Of Esteem (GB),0,0,0.569,0.359
Singhalongtasveer (GB),0,0,0.496,0.347
High Minded (GB),0,0,0.194,0.064
Premier Times (GB),1.453,1.732,0.368,0.228
Choreographic (IRE),0,0,0.307,0.136
Eastern Mandarin (GB),0,0,0.294,0.15
Serene Pearl (IRE),0,0,0.298,0.158
Mister Buzz (GB),0,0,0.322,0.167
Melrose Avenue (USA),5.811,2.576,0.65,0.59
Takhmin (IRE),2.905,0.904,0.479,0.377
General Max (IRE),0,0,0.138,0.04
Jeffslottery (GB),0,0,0.305,0.125
Stage School (USA),7.748,1.714,0.667,0.667
Peters Delite (GB),0,0,0.569,0.437
Auvergne (GB),0.968,0.706,0.617,0.456
Sound That Alarm (GB),1.056,0.946,0.334,0.222
Purple Dancer (FR),0,0,0.45,0.266
Loup Sifflet (IRE),0,0,0.378,0.214
Mac Cois Na Tine (GB),0,0,0.236,0.063
Judge Damuss (IRE),0,0,0.111,0.012
Bust (IRE),0,0,0.071,0.015
Tartatartufata (GB),3.874,1.934,0.764,0.639
Penang Sapphire (GB),0,0,0.326,0.143
Ellis Cave (GB),0,0,0.337,0.177
Little Biscuit (IRE),0,0,0.371,0.16
Ducal Diva (GB),0,0,0,0
Royal Melbourne (IRE),0.968,0.617,0.655,0.528
Ticero (GB),1.162,0.694,0.596,0.427
Ego Trip (GB),1.291,1.041,0.656,0.501
Key In (GB),0,0,0.405,0.23
Tiger Frog (USA),1.453,0.918,0.401,0.221
Kaliyoun (IRE),0,0,0.171,0.069
Party Ploy (GB),0,0,0.399,0.244
Legal Set (IRE),0.684,0.925,0.551,0.36
Dunn Deal (IRE),1.223,0.864,0.659,0.528
Nemo Fugat (IRE),0,0,0.559,0.359
Mynd (GB),0.894,0.566,0.626,0.423
Tally (IRE),0,0,0.592,0.409
Flying Tackle (GB),0.968,0.864,0.656,0.481
Sholto (GB),0,0,0.46,0.27
Valiant Romeo (GB),2.324,1.344,0.703,0.567
Telepathic (IRE),0.775,1.076,0.447,0.299
Ladies Knight (GB),0,0,0.492,0.371
Mrs Spence (GB),0,0,0.411,0.244
Russian Cafe (IRE),0,0,0.16,0.037
Troodos Jet (GB),0,0,0.183,0.078
Shamrock Tea (GB),0,0,0.074,0.016
Shes Our Beauty (IRE),2.324,1.658,0.3,0.25
Multiple (IRE),2.905,0.927,0.791,0.676
The History Man (IRE),2.583,1.067,0.723,0.602
Spitzensparkes (IRE),0,0,0.47,0.298
Al Shamara (GB),0,0,0.509,0.33
Fancy You (IRE),0,0,0.397,0.213
The Classic Fox (GB),0,0,0.138,0.037
Saddell (IRE),0,0,0.235,0.059
True Valentine (GB),0,0,0.395,0.23
Mr Cheers (GB),0,0,0.307,0.161
Spirit Of Coniston (GB),0,0,0.417,0.276
Zhitomir (GB),0.968,0.548,0.708,0.609
Pawan (IRE),0.484,0.575,0.597,0.418
Mandarin Spirit (IRE),2.324,1.415,0.651,0.511
Bijou Dan (GB),0.775,0.545,0.658,0.511
Colemanstown (GB),1.162,0.821,0.577,0.423
Jubilee Street (IRE),3.32,1.674,0.711,0.601
Flash Ram (GB),3.32,2.846,0.67,0.495
Fair Shake (IRE),0.894,1.062,0.535,0.381
No Grouse (GB),1.788,1.48,0.504,0.326
Jools (GB),1.453,1.308,0.468,0.354
Five Years On (IRE),0,0,0.049,0.003
Kool Ovation (GB),2.905,2.122,0.634,0.545
Gold Guest (GB),2.583,1.547,0.637,0.494
Court Of Appeal (GB),3.169,0.961,0.68,0.575
Friedhelmo (GER),0.505,0.747,0.252,0.154
Peters Imp (IRE),1.788,1.273,0.592,0.443
Cadeaux Rouge (IRE),0,0,0.488,0.337
Romil Star (GER),1.743,1.019,0.531,0.365
Lucky Judge (GB),0,0,0.432,0.244
Red Bluff (IRE),0,0,0.141,0.04
Platinum Charmer (IRE),3.486,1.885,0.643,0.506
Loop The Loup (GB),2.905,1.435,0.64,0.511
Fifth Column (USA),0,0,0.026,0.002
Known Maneuver (USA),0,0,0.224,0.12
Red Sun (GB),1.162,0.893,0.453,0.311
Silver Seeker (USA),0,0,0.536,0.368
Through The Rye (GB),1.291,1.092,0.567,0.413
Sovereign State (IRE),0.646,0.55,0.606,0.453
Munaawesh (USA),0,0,0.424,0.266
Nocatee (IRE),1.66,1.002,0.631,0.44
Celtic Blaze (IRE),0.894,0.886,0.485,0.323
Cyber Santa (GB),2.905,2.295,0.603,0.472
Archie Babe (IRE),1.66,1.228,0.484,0.301
Given A Chance (GB),0.83,1.26,0.466,0.313
Magic Red (GB),0,0,0.415,0.212
Our Monogram (GB),3.32,2.145,0.532,0.441
Niciara (IRE),0,0,0.042,0.007
Dispol Isle (IRE),0,0,0.602,0.418
Primarily (GB),0,0,0.674,0.5
Sweet Emily (GB),2.324,1.676,0.736,0.572
Glad Big (GER),0,0,0.722,0.528
Whitethorne (GB),2.905,1.501,0.73,0.596
Champagne Rossini (IRE),0,0,0.286,0.15
