damsire,IV,A/E,PRB,PRB2
Dilum,0.491,0.672,0.404,0.261
Gunner B,1.238,1.104,0.438,0.312
Hadeer,0.219,0.318,0.389,0.238
Kafu,0.536,0.588,0.462,0.307
Crofthall,0.513,0.789,0.374,0.233
Tristrams Heritage,0.775,0.978,0.496,0.364
Seclude I,1.316,1.153,0.515,0.361
Deputy Minister,1.198,0.721,0.591,0.432
Distant View,1.081,0.721,0.557,0.391
Sizzling Melody,0.601,0.72,0.441,0.288
Reference Point,1.027,0.96,0.478,0.327
Jareer,1.021,0.687,0.516,0.372
Brocco,3.874,2.115,0.835,0.734
Grundy,0.447,0.51,0.411,0.249
Exhibitioner,0.818,0.961,0.47,0.311
Mount Hagen,1.162,0.816,0.519,0.366
Alnasr Alwasheek,0.528,0.675,0.502,0.337
Classic Secret I,0.626,0.576,0.491,0.348
Gallic League,0.447,0.612,0.325,0.216
Rhythm,0,0,0.503,0.254
Komaite,0.745,0.952,0.363,0.224
Ezzoud,0.495,0.495,0.439,0.289
Hawkins Special,0,0,0.55,0.458
Cragador,1.788,1.331,0.557,0.396
Alpenkonig,0,0,0.56,0.334
Kefaah,1.143,0.814,0.535,0.378
Siberian Express,0.946,0.761,0.535,0.386
Briartic,0,0,0.124,0.033
Sandhurst Prince,0.211,0.273,0.418,0.256
Pennekamp,1.937,1.297,0.607,0.501
Day Is Done,0,0,0.403,0.253
Halling,0.75,0.876,0.461,0.297
Chieftain,1.236,1.176,0.534,0.382
Denel,1.453,1.063,0.452,0.339
Orofino,0.726,0.565,0.643,0.485
Key To The Mint,0,0,0.401,0.234
Tepukei,0,0,0.272,0.146
Grey Dawn II,1.69,1.278,0.5,0.369
Norwick,0.232,0.194,0.495,0.357
Choral Society,0,0,0.494,0.331
Current Magic,0,0,0.24,0.151
Olmeto,1.66,1.233,0.467,0.369
Star Wolf,3.32,1.472,0.732,0.587
Bellypha,0.642,0.507,0.532,0.375
Monksfield,1.382,0.992,0.5,0.373
Dom Pasquini,1.66,0.896,0.62,0.472
Idiots Delight,0.557,0.463,0.469,0.332
General Ironside,1.229,0.896,0.559,0.43
Callernish,0.609,0.457,0.473,0.34
